timestamp,price,amount,log_return,sma,vwap,volatility
2025-08-12 15:15:49.557,119495.1,2,1.4226625967632147e-05,119482.495,119379.12569206141,2.6143937070933134e-05
2025-08-12 15:15:49.557,119498.8,2,3.0963133371041514e-05,119484.1,119379.12960324215,2.6450630050033144e-05
2025-08-12 15:15:49.557,119500.0,2,1.0041891423880874e-05,119485.7,119379.1335533842,2.645555905848348e-05
2025-08-12 15:15:50.396,119500.0,2,0.0,119487.24000000002,119379.13750326808,2.661727662512285e-05
2025-08-12 15:15:50.410,119499.9,2,-8.368204339168405e-07,119488.73500000002,119379.14144962594,2.6762419664263385e-05
2025-08-12 15:15:50.416,119499.9,2,0.0,119490.09,119379.14539572588,2.6771997301353623e-05
2025-08-12 15:15:50.428,119499.9,2,0.0,119491.44499999999,119379.14934156793,2.6771997301353623e-05
2025-08-12 15:15:56.424,119500.0,98,8.368204338660635e-07,119492.80499999998,119379.34253229816,2.675398914753164e-05
2025-08-12 15:15:56.424,119500.0,230,0.0,119494.125,119379.79352228048,2.6857414413963727e-05
2025-08-12 15:15:56.424,119500.0,44,0.0,119494.73499999999,119379.87941472615,8.885145619478736e-06
2025-08-12 15:15:56.424,119500.0,112,0.0,119495.345,119380.09749716336,8.885145619478736e-06
2025-08-12 15:15:56.424,119500.0,66,0.0,119495.95499999999,119380.22563961407,8.885145619478736e-06
2025-08-12 15:15:56.424,119500.0,110,0.0,119496.55499999998,119380.43860278679,8.9269487285823e-06
2025-08-12 15:15:56.424,119500.0,138,0.0,119497.02999999998,119380.7047061481,8.158283468565734e-06
2025-08-12 15:15:57.498,119500.0,40,0.0,119497.50499999998,119380.78161627243,8.158283468565734e-06
2025-08-12 15:16:00.736,119499.9,326,-8.368204339168405e-07,119497.975,119381.40423280434,8.181854958771485e-06
2025-08-12 15:16:00.736,119499.9,278,0.0,119498.44499999999,119381.93005682554,8.181854958771485e-06
2025-08-12 15:16:00.736,119499.9,278,0.0,119498.905,119382.45123478382,8.214676446139233e-06
2025-08-12 15:16:00.736,119499.9,332,0.0,119499.33,119383.06764677995,8.243675394656416e-06
2025-08-12 15:16:00.736,119499.9,332,0.0,119499.65499999998,119383.67762226776,7.664384566693145e-06
2025-08-12 15:16:00.736,119499.9,332,0.0,119499.89500000002,119384.2812615376,7.185445028003806e-06
2025-08-12 15:16:00.736,119499.9,22,0.0,119499.95,119384.32104028536,2.2792395094650755e-06
2025-08-12 15:16:00.736,119499.9,336,0.0,119499.94499999999,119384.92518668337,3.2973609017742025e-07
2025-08-12 15:16:01.234,119489.6,58,-8.619625553732103e-05,119499.425,119385.01954987732,1.9267039564909556e-05
2025-08-12 15:16:01.234,119489.6,112,0.0,119498.91,119385.20128782012,1.927598080254202e-05
2025-08-12 15:16:03.668,119488.1,36,-1.2553472562662428e-05,119498.31999999999,119385.25873212802,1.9332559444629566e-05
